id, first_name, last_name, age, phone, email, department, rolename
442106,Jonathan,Poiana,56,(372) 669-6096,JPoiana281@cityinthesky.com,=RANDARRAY,,,,Dining
869982,Rebecca,Villareal,58,(355) 500-9320,RVillareal186@cityinthesky.com,Attractions,,,,Merchandise
618018,Yohaness,Cunningham,59,(889) 630-4059,YCunningham576@cityinthesky.com,Attractions,,,,Attractions
676922,Zak,Yevchyn,31,(756) 356-5269,ZYevchyn735@cityinthesky.com,Custodial,,,,Custodial
398848,Michael,Tamirat,29,(907) 433-5019,MTamirat273@cityinthesky.com,Dining,,,,Ticketing
498905,Michael,Sarmiento,42,(910) 840-4472,MSarmiento501@cityinthesky.com,,,,,Security
472739,Jam ,Pacis,49,(989) 334-5731,JPacis136@cityinthesky.com,Custodial,,,,Maintanence
839167,Sean,Ho,54,(589) 639-7793,SHo786@cityinthesky.com,,,,,Entertainment
572919,Abdel,Abdalla,27,(734) 586-6404,AAbdalla488@cityinthesky.com,,,,,
226585,Maria,Trujillo,22,(946) 124-3756,MTrujillo308@cityinthesky.com,,,,,
412240,Deanna,Montes de Oca,48,(912) 396-6531,DMontes de Oca763@cityinthesky.com,Merchandise,,,,
315161,Faisal,Ali,57,(649) 762-2656,FAli623@cityinthesky.com,,,,,
642180,Mo,Salim,31,(266) 914-3879,MSalim47@cityinthesky.com,Merchandise,,,,
534201,Jason,Lam,34,(934) 965-9803,JLam465@cityinthesky.com,,,,,
607739,Lorenzo ,Turner,19,(575) 720-9755,LTurner105@cityinthesky.com,,,,,
643717,Abby,Herrera,59,(486) 492-7967,AHerrera356@cityinthesky.com,Attractions,,,,
546923,Deondra,Eleng,39,(311) 366-4331,DEleng816@cityinthesky.com,,,,,
244569,Farah,Abdullahi,33,(647) 093-7350,FAbdullahi148@cityinthesky.com,,,,,
899633,Huy,Nguyen,49,(522) 596-9906,HNguyen166@cityinthesky.com,Custodial,,,,
133628,Joey,Chim,53,(235) 312-0861,JChim139@cityinthesky.com,,,,,
234669,Payshense,Richmond,34,(842) 303-2572,PRichmond487@cityinthesky.com,Dining,,,,
272149,Hamza,Said,18,(171) 170-9799,HSaid519@cityinthesky.com,,,,,
755085,Jimmy,Ramirez,24,(626) 797-0003,JRamirez864@cityinthesky.com,,,,,
241986,Alex,Cunningham,22,(229) 458-8488,ACunningham57@cityinthesky.com,,,,,
960116,Hunde ,Werabu,20,(317) 084-5134,HWerabu195@cityinthesky.com,Attractions,,,,
607103,Ayub,Ibrahim,59,(925) 804-5922,AIbrahim913@cityinthesky.com,,,,,
166065,Kenny,Thao,32,(924) 942-7118,KThao465@cityinthesky.com,,,,,
582864,Michael,Thao,24,(893) 718-0671,MThao143@cityinthesky.com,Merchandise,,,,
221340,Trey,Sampson,28,(381) 611-9189,TSampson910@cityinthesky.com,,,,,
168709,Yasmin,Thalib,59,(246) 546-4039,YThalib118@cityinthesky.com,,,,,
812145,Nathan,Cole,49,(677) 644-6780,NCole694@cityinthesky.com,Custodial,,,,
794801,Corey,Fike,28,(663) 664-9170,CFike807@cityinthesky.com,,,,,
298487,Nicole,Bade,20,(933) 996-6950,NBade304@cityinthesky.com,Dining,,,,
776262,Paulina,Hernandez,55,(845) 810-7971,PHernandez566@cityinthesky.com,Dining,,,,
917058,Ricardo,Cruz,20,(818) 325-0020,RCruz495@cityinthesky.com,,,,,
248609,Melissa,Schade,52,(155) 732-5445,MSchade35@cityinthesky.com,,,,,
116895,Tatiana,Heck,60,(418) 413-2139,THeck235@cityinthesky.com,Custodial,,,,
843641,Thomas,Wilson,35,(293) 591-6701,TWilson80@cityinthesky.com,,,,,
658804,Michael,Ford,35,(986) 399-3702,MFord468@cityinthesky.com,Attractions,,,,
345435,Michael,Baldwin,49,(267) 804-3580,MBaldwin511@cityinthesky.com,Attractions,,,,
136067,Joel,Ellis,53,(876) 470-5508,JEllis843@cityinthesky.com,,,,,
347245,Kurt ,Henderson,43,(985) 327-4188,KHenderson542@cityinthesky.com,,,,,
248215,Alexander,West,48,(274) 078-1189,AWest263@cityinthesky.com,,,,,
